"filename", "language", "CSS", "JSON with Comments", "Shell Script", "JSON", "Rust", "Properties", "Markdown", "LEC", "JavaScript", "HTML", "GDScript", "YAML", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C69.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C7.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 6, 22
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C70.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C71.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C72.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C73.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C74.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C76.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C8.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 6, 22
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C80.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 7, 25
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C9.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 8, 24
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C90.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 7, 25
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Gameloop.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 1, 19, 43
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\ENUM.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 7, 44, 107
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Entity-Attributes\Components.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 12, 89
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Entity-Attributes\Flags.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 2, 12, 40
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Entity-Attributes\Properties.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 8, 20
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Entity-Attributes\Templates.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 9, 14
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\ARISPROCGENES.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 11
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\BEVAHIOUR.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 6, 24, 55
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\DIOJSONES.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 15, 30
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\ENTROPY.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 8, 38
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\FILE_PATHS.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 22, 45
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\INPUT_PANIC.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 9, 31
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\INPUT_REST.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 9, 29
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\ITEMS.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 9, 39
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\KITS.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 17, 39
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\LEC.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 24, 54
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\MINIMAL_COMP.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 1, 26, 132
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\PLAYER.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 10, 36
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Enums\SOKRATILES.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 5, 27, 74
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Signals.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 8, 22
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Syntax.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 9, 15
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Syntax\Event\EFFECTS.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 17, 11, 39
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Syntax\Event\EVENT.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 33, 65
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Syntax\Event\STAT_MOD.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 8, 17
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Syntax\SYNTAX.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 54
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Indexes\Syntax\notes.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 111, 291
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Modules\001-Atlas\Controller\API.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 10, 27, 76
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Modules\001-Atlas\Subatlas\Actor\Race.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 29, 36
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Modules\001-Atlas\Subatlas\Actor\Role.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 29, 36
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Modules\001-Atlas\Subatlas\Actor\Specialty.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 29, 36
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Modules\001-Atlas\Subatlas\Actor\Template.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 14, 25
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Modules\001-Atlas\Subatlas\Conditions.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 23, 30
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Modules\001-Atlas\Subatlas\Interactables.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 25, 37
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Modules\001-Atlas\Subatlas\KitPart.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 8, 51, 141
