"filename", "language", "Properties", "JSON with Comments", "JSON", "HTML", "GDScript", "compressionTargetFile", "CSS", "JavaScript", "XML", "LEC", "Markdown", "Shell Script", "Rust", "YAML", "C++", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\status.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 260, 29, 388
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\stdint.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 55, 41, 248
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\strarray.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35, 10, 57
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\submodule.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 480, 49, 655
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\sys\alloc.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 66, 17, 102
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\sys\commit.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 43, 7, 81
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\sys\config.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 79, 11, 131
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\sys\cred.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 3, 16
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\sys\credential.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 34, 16, 91
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\sys\diff.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 53, 11, 95
