"filename", "language", "JSON with Comments", "Properties", "compressionTargetFile", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Hand.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Head.png", "compressionTargetFile", 0, 0, 39, 0, 0, 39
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Head.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Upper Arm.png", "compressionTargetFile", 0, 0, 40, 0, 0, 40
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Upper Arm.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\forearm.png", "compressionTargetFile", 0, 0, 38, 0, 0, 38
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\forearm.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\allGUI.png", "compressionTargetFile", 0, 0, 251, 0, 4, 255
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\allGUI.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\background\Unbenannt.png", "compressionTargetFile", 0, 0, 37125, 0, 199, 37324
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\background\Unbenannt.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\background\backgroundOnepng.png", "compressionTargetFile", 0, 0, 7556, 0, 62, 7618
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\background\backgroundOnepng.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\Introduction_1.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\Introduction_2.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\Introduction_3.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\Introduction_4.PNG.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\Title.png", "compressionTargetFile", 0, 0, 239, 0, 0, 239
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\Title.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\background\backgroundFour.png", "compressionTargetFile", 0, 0, 19030, 0, 104, 19134
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\background\backgroundFour.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\background\backgroundThree.png", "compressionTargetFile", 0, 0, 15582, 0, 100, 15682
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\background\backgroundThree.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\background\backgroundTwopng.png", "compressionTargetFile", 0, 0, 9494, 0, 80, 9574
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\background\backgroundTwopng.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\create new game formpng.png", "compressionTargetFile", 0, 0, 44, 0, 0, 44
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Titlescreen\create new game formpng.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\five.png", "compressionTargetFile", 0, 0, 4247, 0, 19, 4266
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\five.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\four.png", "compressionTargetFile", 0, 0, 6309, 0, 23, 6332
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\four.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\one.png", "compressionTargetFile", 0, 0, 4220, 0, 23, 4243
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\one.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\three.png", "compressionTargetFile", 0, 0, 1645, 0, 9, 1654
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\three.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\two.png", "compressionTargetFile", 0, 0, 1231, 0, 9, 1240
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\background\two.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\enter animation\Unbenannt1.png", "compressionTargetFile", 0, 0, 386, 0, 7, 393
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\enter animation\Unbenannt1.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\enter animation\Unbenannt2.png", "compressionTargetFile", 0, 0, 431, 0, 5, 436
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\enter animation\Unbenannt2.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\enter animation\Unbenannt3.png", "compressionTargetFile", 0, 0, 381, 0, 1, 382
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\enter animation\Unbenannt3.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\PEACE-RESTORED.png", "compressionTargetFile", 0, 0, 1125, 0, 5, 1130
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\PEACE-RESTORED.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\Unbenannt.png", "compressionTargetFile", 0, 0, 43, 0, 0, 43
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\Unbenannt.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\bio.png", "compressionTargetFile", 0, 0, 42, 0, 0, 42
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\bio.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\clear.png", "compressionTargetFile", 0, 0, 43, 0, 0, 43
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\clear.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\fiber.png", "compressionTargetFile", 0, 0, 45, 0, 0, 45
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\fiber.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\info.png", "compressionTargetFile", 0, 0, 45, 0, 0, 45
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\info.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\steel.png", "compressionTargetFile", 0, 0, 42, 0, 0, 42
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\restmode\matterials\steel.png.import", "Properties", 0, 29, 0, 0, 6, 35
